인허가일자,영업상태구분코드,영업상태명,폐업일자,구,법정동,도로명전체주소,사업장명,업태구분명,좌표정보(x),좌표정보(y),행정동명,행정동코드,소재지면적,교통 수,집객시설 수,교육 수,경쟁자 수,인허가 영업,인허가 폐업,인허가 영업+폐업,타업종비율,타업종경쟁자,버퍼내폐업비율,영업기간,아파트 세대수,제곱미터 당 임대료,임대료,총생활인구수,점심저녁시간대 생활인구수,골목상권,발달상권,구분불가,전통시장,관광특구,생존확률,생존여부
20210701,0,영업/정상,,금천구,시흥동,"서울특별시 금천구 금하로24길 25, 1층 (시흥동)",파스토보이 금천점,경양식,191839.8327,438631.1526,시흥5동,11545710,31,87,11,150,31,534,683,1217,0.974527527,1186,0.561216105,396,9216,30987.5555,970,11670.19361,10936.29824,1,0,0,0,0,0.018188339,0
20181102,0,영업/정상,,강남구,역삼동,"서울특별시 강남구 역삼로20길 9, 5층 (역삼동)",오마주,경양식,203260.5958,443611.7921,역삼1동,11680640,69,92,82,395,734,1886,1812,3698,0.801514332,2964,0.489994592,1368,9021,45886.5275,3169,108753.4728,134994.9088,1,0,0,0,0,0.018188339,0
20220406,0,영업/정상,,강남구,역삼동,"서울특별시 강남구 논현로 337, 지상1층,2층 101호,102호,103호,201호 (역삼동)",아방베이커리(도곡점),경양식,203396.63,443670.52,역삼1동,11680640,336,81,58,352,714,1809,1727,3536,0.798076923,2822,0.488404977,117,13318,45886.5275,15429,108753.4728,134994.9088,1,0,0,0,0,0.018188339,0
20210629,0,영업/정상,,강남구,역삼동,"서울특별시 강남구 논현로71길 6, 청연빌딩 지상1층 (역삼동)",마론,경양식,203376.52,443662.86,역삼1동,11680640,139,82,61,354,722,1834,1759,3593,0.799053716,2871,0.489563039,398,13303,45886.5275,6378,108753.4728,134994.9088,1,0,0,0,0,0.018188339,0
20180921,0,영업/정상,,관악구,신림동,"서울특별시 관악구 신림동길 26, 신림빌딩 지하1층 (신림동)",포원제로 신림,경양식,193370.572,442780.1807,신사동,11620685,50,95,15,118,183,1162,1218,2380,0.923109244,2197,0.511764706,1410,2112,31104.7,1555,20944.66626,18597.21201,1,0,0,0,0,0.018188339,0
20180327,0,영업/정상,,도봉구,방학동,"서울특별시 도봉구 방학로10길 74, 1층 (방학동)",용자돈돈까스,경양식,203028.9248,462506.7474,방학3동,11320710,40,94,16,247,55,600,619,1219,0.95488105,1164,0.507793273,1588,16902,25046.59667,989,20010.31492,17424.02814,1,0,0,0,0,0.018188339,0
20180126,0,영업/정상,,영등포구,양평동5가,"서울특별시 영등포구 양평로 132, 더 스테이트 선유 호텔 1층, 2층 (양평동5가)",뚜스뚜스베이커리카페앤이터리,경양식,190507.5979,448477.5225,양평2동,11560620,844,67,8,196,53,423,303,726,0.926997245,673,0.417355372,1648,10567,30374.63,25638,28329.05959,29842.30973,1,0,0,0,0,0.018188339,0
20210402,0,영업/정상,,영등포구,양평동4가,"서울특별시 영등포구 양평로22길 14, 1층 101호 (양평동4가)",스파게티 스토리,경양식,190644.8927,448515.6637,양평2동,11560620,66,65,7,171,53,421,300,721,0.926490985,668,0.416088766,486,11290,30374.63,1999,28329.05959,29842.30973,1,0,0,0,0,0.018188339,0
20220530,0,영업/정상,,양천구,목동,"서울특별시 양천구 목동중앙서로 23, 1층 (목동)",빈센트피자,경양식,188128.6092,447857.5506,목4동,11470540,34,73,16,492,101,773,862,1635,0.9382263,1534,0.527217125,63,11449,36652.715,1263,18240.20166,16804.03666,1,0,0,0,0,0.018188339,0
20170908,0,영업/정상,,용산구,한남동,"서울특별시 용산구 이태원로 217, 1층 102호 (한남동)",어썸라운지이태원점,경양식,199745.3791,448092.9219,이태원1동,11170650,17,71,27,33,762,1083,828,1911,0.601255887,1149,0.433281005,1788,1980,40597.92,674,13273.29821,14473.70103,1,0,0,0,0,0.018188339,0
20180327,0,영업/정상,,용산구,한남동,"서울특별시 용산구 대사관로 35, A동 1층 (한남동)",세컨드키친사운즈한남,경양식,200107.3971,447970.442,보광동,11170700,188,59,32,36,625,962,706,1668,0.62529976,1043,0.423261391,1588,2580,40597.92,7643,10465.68204,9558.739677,1,0,0,0,0,0.018188339,0
