인허가일자,영업상태구분코드,영업상태명,폐업일자,구,법정동,도로명전체주소,사업장명,업태구분명,좌표정보(x),좌표정보(y),행정동명,행정동코드,소재지면적,교통 수,집객시설 수,교육 수,경쟁자 수,인허가 영업,인허가 폐업,인허가 영업+폐업,타업종비율,타업종경쟁자,버퍼내폐업비율,영업기간,아파트 세대수,제곱미터 당 임대료,임대료,총생활인구수,점심저녁시간대 생활인구수,골목상권,발달상권,구분불가,전통시장,관광특구,생존확률,생존여부
20180208,0,영업/정상,,금천구,시흥동,"서울특별시 금천구 금하로 713, 1층 (시흥동)",보배 왕만두,분식,191891.9879,438771.9082,시흥5동,11545710,26,90,8,160,135,520,650,1170,0.884615385,1035,0.555555556,1635,9156,30987.5555,819,11670.19361,10936.29824,1,0,0,0,0,0.012449829,0
20210830,0,영업/정상,,금천구,시흥동,"서울특별시 금천구 금하로23길 6, 1층 (시흥동)",할머니가래떡볶이 시흥동은행나무점,분식,191856.6718,438821.0371,시흥5동,11545710,27,93,8,161,139,539,671,1210,0.885123967,1071,0.554545455,336,9146,30987.5555,834,11670.19361,10936.29824,1,0,0,0,0,0.012449829,0
20181205,0,영업/정상,,금천구,시흥동,"서울특별시 금천구 금하로 729, 1층 (시흥동)",만나꼬마김밥,분식,192047.2525,438724.2559,시흥5동,11545710,14,84,8,163,118,428,555,983,0.879959308,865,0.564598169,1335,11259,30987.5555,434,11670.19361,10936.29824,1,0,0,0,0,0.012449829,0
20211213,0,영업/정상,,중랑구,중화동,"서울특별시 중랑구 동일로129길 35, 1층 119, 121호 (중화동, 태능에셈빌)",상봉클럽하우스,분식,206771.2173,455221.9895,중화2동,11260610,28,85,7,107,162,727,684,1411,0.88518781,1249,0.48476258,231,5901,27694.7825,763,24191.93929,23667.05304,1,0,0,0,0,0.012449829,0
20190719,0,영업/정상,,관악구,신림동,"서울특별시 관악구 신림동길 34, 1층 (신림동)",옛맛 의정부 부대찌개,분식,193298.3013,442758.44,신사동,11620685,40,97,16,120,371,1182,1245,2427,0.847136382,2056,0.512978986,1109,2112,31104.7,1235,20944.66626,18597.21201,1,0,0,0,0,0.013179737,0
20201029,0,영업/정상,,관악구,신림동,"서울특별시 관악구 신림동9길 3, 제1층 101호 (신림동)",뿌기DV,분식,193275.5279,442712.4519,신사동,11620685,19,100,16,125,375,1198,1275,2473,0.848362313,2098,0.515568136,641,2112,31104.7,591,20944.66626,18597.21201,1,0,0,0,0,0.013179737,0
20210121,0,영업/정상,,도봉구,방학동,"서울특별시 도봉구 도당로 96, 가동 1층 (방학동)",자갈치 낙곱새,분식,203249.5093,462593.5996,방학1동,11320690,18,105,15,247,122,665,709,1374,0.911208151,1252,0.516011645,557,16832,25046.59667,463,23494.2753,24802.59456,1,0,0,0,0,0.01625814,0
20180820,0,영업/정상,,영등포구,양평동5가,"서울특별시 영등포구 양평로22가길 4, 1층 (양평동5가)",선유우동,분식,190557.0066,448482.0655,양평2동,11560620,56,66,6,178,83,427,309,736,0.887228261,653,0.419836957,1442,13414,30374.63,1701,28329.05959,29842.30973,1,0,0,0,0,0.014836066,0
20180530,0,영업/정상,,강동구,천호동,"서울특별시 강동구 성안로 181, 1층 (천호동)",브르르 떨어 떡볶이,분식,211955.2694,448568.487,길동,11740685,40,94,20,240,283,1363,1531,2894,0.902211472,2611,0.52902557,1524,6750,30875.16667,1235,55951.10631,55277.9273,1,0,0,0,0,0.014836066,0
20190311,0,영업/정상,,양천구,목동,"서울특별시 양천구 목동중앙남로 15, 1층 (목동)",봉구비어,분식,188292.0467,448157.4523,목4동,11470540,40,72,16,604,150,562,683,1245,0.879518072,1095,0.548594378,1239,12116,36652.715,1448,18240.20166,16804.03666,1,0,0,0,0,0.012449829,0
20201006,0,영업/정상,,용산구,한남동,"서울특별시 용산구 우사단로10길 47, 1층 (한남동)",숙이네분식,분식,199768.3048,447851.0963,보광동,11170700,20,57,22,33,108,1045,771,1816,0.940528634,1708,0.424559471,664,1781,40597.92,812,10465.68204,9558.739677,1,0,0,0,0,0.015704403,0
20180302,0,영업/정상,,용산구,한남동,"서울특별시 용산구 이태원로49길 15, 1층 (한남동)",한남김밥,분식,199892.153,448310.151,한남동,11170685,37,76,34,36,101,989,752,1741,0.941987364,1640,0.431935669,1613,2338,40597.92,1517,31344.24743,35491.54168,1,0,0,0,0,0.016736642,0
20190626,0,영업/정상,,서대문구,창천동,"서울특별시 서대문구 신촌로 123, 1층 (창천동)",신촌집,분식,194594.3161,450445.9514,대흥동,11440600,80,139,36,309,310,1213,1503,2716,0.885861561,2406,0.553387334,1132,11785,41194.1475,3296,22234.01291,23689.09175,1,0,0,0,0,0.012449829,0
20210712,0,영업/정상,,중구,신당동,"서울특별시 중구 다산로39길 45, 지하1층 (신당동)",앙떡 신당점,분식,201114.2907,451366.0997,신당동,11140615,26,88,28,92,308,1500,868,2368,0.869932432,2060,0.366554054,385,9146,45775.96375,1208,21376.05003,22107.5451,1,0,0,0,0,0.012449829,0
20210322,0,영업/정상,,중구,신당동,"서울특별시 중구 퇴계로 388-1, 1층 (신당동)",드로잉카페 풀딥,분식,201232.5025,451413.7832,신당동,11140615,17,87,28,93,303,1457,851,2308,0.868717504,2005,0.368717504,497,10561,45775.96375,755,21376.05003,22107.5451,1,0,0,0,0,0.012449829,0
20210316,0,영업/정상,,강남구,역삼동,"서울특별시 강남구 언주로71길 13, 선광빌딩 지상1층 (역삼동)",카페앤바 바이 끄끄흐디자인,분식,203811.4564,443883.9273,역삼2동,11680650,33,68,30,361,341,1698,1587,3285,0.896194825,2944,0.483105023,503,17695,45886.5275,1514,54870.38526,58126.24751,1,0,0,0,0,0.014836066,0
20210803,0,영업/정상,,강남구,역삼동,"서울특별시 강남구 언주로85길 32, 역삼역센트럴푸르지오 지하1층 B118 CA26-1호 (역삼동)",응큼떡볶이 본점,분식,203519.2709,444294.8425,역삼2동,11680650,13,56,77,342,387,1962,1882,3844,0.899323621,3457,0.489594173,363,14152,45886.5275,606,54870.38526,58126.24751,1,0,0,0,0,0.014836066,0
20210617,0,영업/정상,,용산구,이태원동,"서울특별시 용산구 이태원로20길 24, 1층 (이태원동)",이태원감칠맛떡볶이,분식,199245.1464,447891.7364,이태원1동,11170650,13,51,15,33,96,885,711,1596,0.939849624,1500,0.445488722,410,750,45967.5975,579,13273.29821,14473.70103,1,0,0,0,0,0.015704403,0
20220310,0,영업/정상,,마포구,대흥동,"서울특별시 마포구 대흥로 110, 수안빌딩 1층 (대흥동)",소화전떡볶이,분식,194934.974,449678.6759,대흥동,11440600,43,107,22,285,267,872,1083,1955,0.86342711,1688,0.553964194,144,19177,39263.5925,1684,22234.01291,23689.09175,1,0,0,0,0,0.013179737,0
20190314,0,영업/정상,,송파구,석촌동,"서울특별시 송파구 송파대로49길 29, 2층 201호 (석촌동)",미소키친,분식,208910.1544,444950.52,석촌동,11710600,91,44,24,328,233,1056,1155,2211,0.89461782,1978,0.52238806,1236,14012,47661.9,4337,28978.71938,27768.72215,1,0,0,0,0,0.014836066,0
20191104,0,영업/정상,,강남구,논현동,"서울특별시 강남구 봉은사로25길 15, 지상1층 (논현동)",한가김밥,분식,202772.8041,445101.6292,역삼1동,11680640,27,91,196,334,376,2033,2132,4165,0.90972389,3789,0.511884754,1001,2122,38504.3175,1032,108753.4728,134994.9088,1,0,0,0,0,0.01625814,0
20210913,0,영업/정상,,강남구,논현동,"서울특별시 강남구 봉은사로25길 28, 지상1층 103호 (논현동)",할머니가래떡볶이 논현점,분식,202781.5261,445185.6631,역삼1동,11680640,33,83,198,285,360,1887,1970,3857,0.90666321,3497,0.510759658,322,2122,38504.3175,1282,108753.4728,134994.9088,1,0,0,0,0,0.01625814,0
20171106,0,영업/정상,,송파구,잠실동,"서울특별시 송파구 백제고분로19길 28, 1층 (잠실동)",케이콜라보 김밥 잠실점,분식,207676.9443,444989.665,잠실본동,11710650,21,44,18,381,212,818,986,1804,0.88248337,1592,0.546563193,1729,20603,67757.98333,1423,34506.17534,34426.55575,1,0,0,0,0,0.012449829,0
20171121,0,영업/정상,,송파구,잠실동,"서울특별시 송파구 백제고분로19길 6, 1층 (잠실동)",미미국수,분식,207602.901,444795.2526,잠실본동,11710650,33,32,5,290,215,820,996,1816,0.88160793,1601,0.54845815,1714,8621,67757.98333,2256,34506.17534,34426.55575,1,0,0,0,0,0.018352067,0
20190626,0,영업/정상,,송파구,잠실동,"서울특별시 송파구 올림픽로12길 35-1, 1층 (잠실동)",열정분식소 잠실점,분식,207326.7921,445131.7797,잠실본동,11710650,58,38,18,358,184,703,867,1570,0.882802548,1386,0.552229299,1132,21704,67757.98333,3948,34506.17534,34426.55575,1,0,0,0,0,0.012449829,0
