경쟁자 수,교육 수,교통 수,버퍼내폐업비율,인허가 영업,인허가 폐업,임대료,집객시설 수,타업종경쟁자
31,150,87,0.561216105,534,683,970,11,1186
734,395,92,0.489994592,1886,1812,3169,82,2964
714,352,81,0.488404977,1809,1727,15429,58,2822
722,354,82,0.489563039,1834,1759,6378,61,2871
183,118,95,0.511764706,1162,1218,1555,15,2197
55,247,94,0.507793273,600,619,989,16,1164
53,196,67,0.417355372,423,303,25638,8,673
53,171,65,0.416088766,421,300,1999,7,668
101,492,73,0.527217125,773,862,1263,16,1534
762,33,71,0.433281005,1083,828,674,27,1149
625,36,59,0.423261391,962,706,7643,32,1043
612,36,59,0.422235723,951,695,3929,32,1034
612,36,59,0.422235723,951,695,4187,38,1034
651,35,76,0.428309945,937,702,412,35,988
651,37,72,0.424133811,964,710,2856,34,1023
657,37,76,0.428313253,949,711,12991,35,1003
687,35,74,0.433313574,956,731,1992,35,1000
630,37,72,0.423718345,933,686,3828,33,989
655,36,75,0.428313253,949,711,2960,36,1005
644,36,75,0.426389737,939,698,6389,34,993
647,37,71,0.423718713,967,711,1630,32,1031
698,36,75,0.430292599,993,750,777,34,1045
756,36,76,0.428113308,1070,801,18746,27,1115
735,38,78,0.432372506,1024,780,4989,28,1069
629,37,70,0.421671827,934,681,2849,36,986
625,34,74,0.421943574,922,673,2510,35,970
735,38,78,0.432372506,1024,780,3778,29,1069
657,37,76,0.428313253,949,711,10334,33,1003
654,37,74,0.428059701,958,717,3037,37,1021
706,34,76,0.432448037,983,749,3861,36,1026
696,34,76,0.431818182,975,741,1949,35,1020
668,35,75,0.430357143,957,723,2982,35,1012
697,36,74,0.432134571,979,745,965,34,1027
748,39,74,0.427009295,1048,781,5414,29,1081
647,37,71,0.423718713,967,711,479,32,1031
620,36,71,0.420025189,921,667,7161,32,968
652,37,73,0.425417661,963,713,1309,32,1024
620,36,71,0.420025189,921,667,5022,32,968
39,148,85,0.549180328,605,737,1339,10,1303
629,301,56,0.48502994,1634,1539,1377,32,2544
807,342,56,0.489594173,1962,1882,1652,78,3037
807,354,60,0.489908257,1946,1869,6057,68,3008
807,342,56,0.489594173,1962,1882,875,77,3037
807,342,56,0.489594173,1962,1882,918,76,3037
807,342,56,0.489594173,1962,1882,688,79,3037
818,382,63,0.48930688,1982,1899,10179,50,3063
807,342,56,0.489594173,1962,1882,2248,76,3037
93,132,104,0.526960784,965,1075,1232,11,1947
99,111,107,0.52177626,1120,1222,565,7,2243
13,78,51,0.351351351,96,52,5837,5,135
13,75,50,0.328571429,94,46,2269,7,127
215,120,75,0.505963591,787,806,5055,4,1378
747,33,61,0.450395618,903,740,1831,19,896
756,33,65,0.443650357,1012,807,18137,19,1063
750,34,53,0.441572429,1037,820,13206,18,1107
739,31,61,0.453163017,899,745,13099,16,905
