경쟁자 수,교통 수,인허가 폐업,임대료,점심저녁시간대 생활인구수,집객시설 수,타업종비율
135,90,650,819,10936.29824,8,0.884615385
139,93,671,834,10936.29824,8,0.885123967
118,84,555,434,10936.29824,8,0.879959308
162,85,684,763,23667.05304,7,0.88518781
371,97,1245,1235,18597.21201,16,0.847136382
375,100,1275,591,18597.21201,16,0.848362313
122,105,709,463,24802.59456,15,0.911208151
83,66,309,1701,29842.30973,6,0.887228261
283,94,1531,1235,55277.9273,20,0.902211472
150,72,683,1448,16804.03666,16,0.879518072
108,57,771,812,9558.739677,22,0.940528634
101,76,752,1517,35491.54168,34,0.941987364
310,139,1503,3296,23689.09175,36,0.885861561
308,88,868,1208,22107.5451,28,0.869932432
303,87,851,755,22107.5451,28,0.868717504
341,68,1587,1514,58126.24751,30,0.896194825
387,56,1882,606,58126.24751,77,0.899323621
96,51,711,579,14473.70103,15,0.939849624
267,107,1083,1684,23689.09175,22,0.86342711
233,44,1155,4337,27768.72215,24,0.89461782
376,91,2132,1032,134994.9088,196,0.90972389
360,83,1970,1282,134994.9088,198,0.90666321
212,44,986,1423,34426.55575,18,0.88248337
215,32,996,2256,34426.55575,5,0.88160793
184,38,867,3948,34426.55575,18,0.882802548
192,26,874,2033,34426.55575,2,0.880074953
212,44,986,1565,34426.55575,18,0.88248337
384,151,2671,227,25660.57992,30,0.920841064
80,61,265,1298,19677.17733,14,0.896238651
234,93,769,429,12753.44077,20,0.881037112
113,88,609,1752,25115.11668,9,0.920141343
120,86,627,550,25115.11668,6,0.916608756
176,117,836,1433,32931.6198,6,0.891223733
174,117,879,935,32931.6198,7,0.895745956
182,121,882,1247,32931.6198,7,0.892116183
97,88,441,1402,14380.88502,9,0.908143939
135,86,532,425,17713.32909,5,0.879679144
160,95,896,2967,75810.43776,31,0.913185024
158,89,861,1341,75810.43776,27,0.911036036
196,109,1021,1072,18843.2556,11,0.90608529
237,95,1324,308,28933.52476,9,0.909299656
120,105,465,3231,22488.12742,12,0.87012987
