경쟁자 수,교육 수,교통 수,버퍼내폐업비율,아파트 세대수,임대료,점심저녁시간대 생활인구수,집객시설 수,타업종경쟁자,타업종비율
26,151,90,0.56097561,8886,899,10936.29824,10,1204,0.978861789
151,127,100,0.522744796,1981,933,18597.21201,15,2443,0.941788743
142,117,92,0.510718789,2112,809,18597.21201,15,2237,0.940311055
77,227,96,0.51324754,16334,401,24802.59456,12,1244,0.941710825
81,250,98,0.512592593,16536,1894,24802.59456,14,1269,0.94
39,173,67,0.417582418,13414,2088,29842.30973,6,689,0.946428571
129,38,74,0.427563755,1980,2679,35491.54168,29,1714,0.930005426
114,37,73,0.425350396,2580,1844,35491.54168,35,1527,0.930530165
111,33,75,0.423149905,2338,1962,35491.54168,36,1470,0.929791271
114,37,75,0.42603912,2580,5392,35491.54168,34,1522,0.930317848
131,38,74,0.427415003,1980,1943,35491.54168,29,1722,0.929303832
55,352,60,0.532356532,10523,3654,35001.36518,4,764,0.932844933
137,103,96,0.373893805,11488,3227,22107.5451,29,2123,0.939380531
259,300,57,0.483152484,16079,2294,58126.24751,44,3243,0.926042262
87,122,60,0.426966292,2318,1258,15187.01226,10,1159,0.930176565
311,342,56,0.489594173,14152,707,58126.24751,77,3533,0.919094693
162,53,154,0.502180685,3346,1079,72929.04225,15,3048,0.94953271
159,55,148,0.509113377,2931,817,72929.04225,13,3078,0.950880445
10,75,52,0.347222222,6843,1189,41311.48915,4,134,0.930555556
95,34,64,0.449882075,578,3517,14473.70103,19,1601,0.943985849
96,33,62,0.449908925,978,3433,14473.70103,18,1551,0.941712204
66,99,98,0.438892234,5579,1351,27016.92851,10,1595,0.960264901
173,313,48,0.497348021,14012,3525,27768.72215,24,2278,0.929416565
183,287,67,0.485005998,11569,3253,27768.72215,27,2318,0.926829268
184,285,63,0.484281735,11913,1408,27768.72215,25,2329,0.92678074
111,105,75,0.479400749,7399,1081,19040.65528,16,1491,0.93071161
82,215,37,0.534900808,4665,6281,34426.55575,16,1279,0.939750184
96,246,28,0.545398394,6155,7759,34426.55575,5,1523,0.940704138
90,309,38,0.544648943,7785,3794,34426.55575,16,1377,0.938650307
103,299,33,0.54840484,8621,3794,34426.55575,7,1715,0.943344334
453,338,155,0.552286923,7688,4485,25660.57992,36,4510,0.908724562
423,344,148,0.546952224,7880,331,25660.57992,34,4433,0.912891269
73,103,60,0.335078534,1207,2733,19677.17733,15,691,0.904450262
133,231,104,0.422065728,26800,2124,9454.241349,17,1997,0.937558685
188,68,142,0.339277108,8338,13130,44978.79125,31,1887,0.90939759
97,190,87,0.535502959,6634,1005,26698.17565,12,2269,0.959002536
83,115,90,0.434449093,7281,1127,25115.11668,8,1351,0.942119944
95,314,117,0.520666255,15431,408,32931.6198,6,1526,0.941394201
97,310,123,0.52653548,11131,835,32931.6198,6,1580,0.942158617
96,146,73,0.370205174,1362,1118,14380.88502,15,1025,0.914362177
99,166,87,0.396290051,1198,1966,14380.88502,15,1087,0.916526138
127,176,76,0.485872576,12689,1674,20092.47001,13,1678,0.929639889
126,176,74,0.485778026,12689,2146,20092.47001,8,1667,0.929726715
129,173,73,0.490576198,12929,1416,20092.47001,9,1728,0.930533118
112,208,91,0.489759036,4889,3589,75810.43776,34,1548,0.93253012
95,293,103,0.501110289,5940,2371,27406.91783,12,1256,0.929681717
106,112,96,0.505401235,4756,2351,28933.52476,11,2486,0.959104938
40,217,109,0.512437811,5190,1553,22488.12742,13,764,0.950248756
65,112,87,0.442933176,9791,1007,18428.03924,6,1626,0.961561206
146,109,90,0.507815631,2775,2364,14743.22995,16,2349,0.941482966
117,113,79,0.505597015,2602,467,14743.22995,12,2027,0.945429104
118,112,80,0.504655493,2602,1555,14743.22995,14,2030,0.945065177
131,100,84,0.503697617,2618,4619,14743.22995,15,2303,0.946179129
139,101,84,0.50344548,2618,2644,14743.22995,14,2328,0.943656263
133,110,83,0.507204611,2618,2603,14743.22995,14,2296,0.945244957
133,110,83,0.507204611,2618,2603,14743.22995,13,2296,0.945244957
344,1490,69,0.504753915,18968,5297,49884.88825,53,3232,0.903803132
308,1593,73,0.496176201,19432,5287,49884.88825,52,2961,0.905781585
71,291,90,0.521572387,12653,1144,17509.8567,15,972,0.931927133
96,149,66,0.549242424,6824,896,14042.38559,8,2016,0.954545455
98,152,64,0.544779582,6597,1996,14042.38559,10,2057,0.954524362
76,139,65,0.567318757,6321,1617,14042.38559,9,1662,0.956271577
82,170,87,0.47,6575,2920,75810.43776,19,1318,0.941428571
