인허가일자,영업상태구분코드,영업상태명,폐업일자,구,법정동,도로명전체주소,사업장명,업태구분명,좌표정보(x),좌표정보(y),행정동명,행정동코드,소재지면적,교통 수,집객시설 수,교육 수,경쟁자 수,인허가 영업,인허가 폐업,인허가 영업+폐업,타업종비율,타업종경쟁자,버퍼내폐업비율,영업기간,,아파트 세대수,제곱미터 당 임대료,임대료,총생활인구수,점심저녁시간대 생활인구수,골목상권,발달상권,구분불가,전통시장,관광특구,생존확률,생존예측
20170920,0,영업/정상,,금천구,시흥동,"서울특별시 금천구 은행나무로 51, 지상2층 (시흥동)",태양부양꼬치,중국식,191793.5499,438781.4985,시흥5동,11545710,165,95,8,154,69,545,671,1216,0.943256579,1147,0.551809211,1776,1,6336,30987.5555,5113,11670.19361,10936.29824,1,0,0,0,0,0.10650014,0
20210428,0,영업/정상,,금천구,시흥동,"서울특별시 금천구 탑골로 5, 1층 (시흥동)",명가교동짬뽕 금천구청역점,중국식,191970.182,438773.648,시흥5동,11545710,83,89,8,169,59,495,621,1116,0.947132616,1057,0.556451613,460,1,11259,30987.5555,2582,11670.19361,10936.29824,1,0,0,0,0,0.10650014,0
20190726,0,영업/정상,,영등포구,양평동4가,"서울특별시 영등포구 선유로49길 36, 1층 (양평동4가)",강사부,중국식,190554.557,448349.4743,양평2동,11560620,37,67,6,187,36,455,323,778,0.953727506,742,0.415167095,1102,1,13317,30374.63,1124,28329.05959,29842.30973,1,0,0,0,0,0.14147949,0
20220105,0,영업/정상,,강동구,길동,"서울특별시 강동구 성안로 180, 동명빌딩 1층 (길동)",보배반점 길동점,중국식,211979.959,448528.8464,길동,11740685,106,96,15,247,117,1370,1546,2916,0.959876543,2799,0.530178326,208,1,8118,29924.51,3172,55951.10631,55277.9273,1,0,0,0,0,0.10650014,0
20201120,0,영업/정상,,용산구,한남동,"서울특별시 용산구 이태원로 243, 4층 (한남동)",마라,중국식,199934.1554,448282.2258,한남동,11170685,145,75,36,35,58,973,732,1705,0.965982405,1647,0.429325513,619,1,2338,40597.92,5887,31344.24743,35491.54168,1,0,0,0,0,0.14147949,0
20211227,0,영업/정상,,송파구,오금동,"서울특별시 송파구 양재대로72길 31, 1층 (오금동)",난향,중국식,211438.5182,445170.3706,오금동,11710570,87,60,4,352,27,372,409,781,0.965428937,754,0.52368758,217,1,9904,37735.3625,3267,36312.00739,35001.36518,1,0,0,0,0,0.07045026,0
20181010,0,영업/정상,,중구,신당동,"서울특별시 중구 다산로35길 37, 1층 (신당동)",설경,중국식,201148.1943,451337.9445,신당동,11140615,23,90,28,93,119,1490,873,2363,0.949640288,2244,0.36944562,1391,1,9560,45775.96375,1057,21376.05003,22107.5451,1,0,0,0,0,0.17185853,0
20180814,0,영업/정상,,중구,신당동,"서울특별시 중구 퇴계로73길 15, 대보빌딩 1층 102호 (신당동)",중국란주우육면,중국식,201159.8209,451516.2105,신당동,11140615,89,86,29,89,125,1528,882,2410,0.94813278,2285,0.365975104,1448,1,8278,45775.96375,4089,21376.05003,22107.5451,1,0,0,0,0,0.17185853,0
20220221,0,영업/정상,,강남구,역삼동,"서울특별시 강남구 언주로85길 32, 역삼역센트럴푸르지오 지하1층 B104호-CA02호 (역삼동)",라사천마라탕 강남점,중국식,203519.2709,444294.8425,역삼2동,11680650,23,56,77,342,147,1962,1882,3844,0.961758585,3697,0.489594173,161,1,14152,45886.5275,1055,54870.38526,58126.24751,1,0,0,0,0,0.18529493,0
20210322,0,영업/정상,,강남구,역삼동,"서울특별시 강남구 언주로85길 32, 역삼역센트럴푸르지오 지하1층 CA31호 (역삼동)",안기 덮밥 마라탕,중국식,203519.2709,444294.8425,역삼2동,11680650,42,56,77,342,147,1962,1882,3844,0.961758585,3697,0.489594173,497,1,14152,45886.5275,1931,54870.38526,58126.24751,1,0,0,0,0,0.18529493,0
20220401,0,영업/정상,,구로구,구로동,"서울특별시 구로구 구로동로 73, 2층 (구로동)",아바이아매장국집,중국식,189819.7167,442574.1316,가산동,11545510,40,133,24,73,331,1445,1459,2904,0.886019284,2573,0.502410468,122,1,4583,34304.468,1372,60057.69875,72929.04225,1,0,0,0,0,0.10650014,0
20211116,0,영업/정상,,구로구,구로동,"서울특별시 구로구 구로동로7길 60, 1층 (구로동)",이모네집,중국식,189602.7716,442724.7772,가산동,11545510,21,116,20,50,301,1200,1150,2350,0.871914894,2049,0.489361702,258,1,5905,34304.468,720,60057.69875,72929.04225,1,0,0,0,0,0.18529493,0
20201023,0,영업/정상,,구로구,가리봉동,"서울특별시 구로구 구로동로7길 37, 1층 (가리봉동)",금화네 반찬,중국식,189700.2486,442688.8172,가산동,11545510,11,120,22,61,316,1297,1287,2584,0.877708978,2268,0.498065015,647,1,5905,29167.655,321,60057.69875,72929.04225,1,0,0,0,0,0.10650014,0
20210409,0,영업/정상,,구로구,가리봉동,"서울특별시 구로구 구로동로7길 31, 1층 (가리봉동)",최고집,중국식,189724.2622,442661.5985,가산동,11545510,20,126,22,61,321,1346,1344,2690,0.880669145,2369,0.499628253,479,1,5905,29167.655,583,60057.69875,72929.04225,1,0,0,0,0,0.10650014,0
20201119,0,영업/정상,,강남구,자곡동,"서울특별시 강남구 자곡로 204-5, 강남 지웰홈스 지상1층 105,106,110호 (자곡동)",진향가,중국식,209253.7183,441349.1659,세곡동,11680700,119,44,4,76,3,91,43,134,0.97761194,131,0.320895522,620,1,5763,45722.5725,5462,44859.93354,41311.48915,1,0,0,0,0,0.116571486,0
20200629,0,영업/정상,,서초구,양재동,"서울특별시 서초구 마방로6길 7-46, 성풍빌딩 1층 (양재동)",마라토끼 양재점,중국식,203775.6076,441547.137,양재2동,11650652,120,73,4,125,54,806,830,1636,0.966992665,1582,0.507334963,763,1,406,29253.71625,3500,37934.71887,42482.92615,1,0,0,0,0,0.07045026,0
20220411,0,영업/정상,,중랑구,상봉동,"서울특별시 중랑구 망우로 326, 1층 (상봉동)",보배반점 상봉점,중국식,207759.1934,454943.9829,상봉2동,11260590,122,97,11,115,50,876,715,1591,0.968573224,1541,0.449402891,112,1,6046,24825.57,3039,26164.3007,27016.92851,1,0,0,0,0,0.19898562,0
20200217,0,영업/정상,,마포구,염리동,"서울특별시 마포구 숭문길 43, 1층 (염리동)",샨샨,중국식,195098.8514,449576.5618,대흥동,11440600,26,104,18,311,88,1044,1080,2124,0.958568738,2036,0.508474576,896,1,17964,43279.885,1125,22234.01291,23689.09175,1,0,0,0,0,0.10650014,0
20171212,0,영업/정상,,강서구,등촌동,"서울특별시 강서구 화곡로64길 50, 2층 201~202호 (등촌동, 등촌현대2차아파트)",백진주,중국식,187183.3031,450456.3482,화곡6동,11500591,113,83,17,110,72,804,724,1528,0.952879581,1456,0.47382199,1693,1,10487,33793.1825,3803,20316.36037,19040.65528,1,0,0,0,0,0.19898562,0
20201117,0,영업/정상,,성북구,장위동,"서울특별시 성북구 화랑로 265, 1층 107호 (장위동, H하우스 장위)",한스친친,중국식,205085.7988,456623.0322,석관동,11290810,63,89,6,88,49,540,576,1116,0.95609319,1067,0.516129032,622,1,6052,28752.42333,1799,26803.255,25308.72175,1,0,0,0,0,0.10650014,0
20200609,0,영업/정상,,중랑구,묵동,"서울특별시 중랑구 동일로 927, 1층 (묵동)",금용각,중국식,206709.9636,456761.1952,묵2동,11260630,150,71,6,95,32,462,444,906,0.964679912,874,0.490066225,783,1,6399,28309.61375,4246,18688.1154,17713.32909,1,0,0,0,0,0.18529493,0
20211022,0,영업/정상,,중랑구,묵동,"서울특별시 중랑구 동일로151길 16, 1층 (묵동)",라부파마라탕 묵동점,중국식,206744.1026,456218.2003,묵2동,11260630,27,66,7,112,28,461,452,913,0.969331873,885,0.495071194,283,1,5324,28309.61375,764,18688.1154,17713.32909,1,0,0,0,0,0.18529493,0
20201209,0,영업/정상,,중랑구,묵동,"서울특별시 중랑구 중랑역로 227, 청록태권도 1층 (묵동)",오자매양꼬치,중국식,206568.8209,456836.1865,묵2동,11260630,44,82,6,89,35,564,512,1076,0.967472119,1041,0.475836431,600,1,10652,28309.61375,1237,18688.1154,17713.32909,1,0,0,0,0,0.19898562,0
20220311,0,영업/정상,,송파구,문정동,"서울특별시 송파구 동남로6길 15, 1층 (문정동)",천이향 마라탕,중국식,210985.1221,442994.2889,문정1동,11710641,30,75,15,174,89,947,912,1859,0.952124798,1770,0.490586337,143,1,14262,42916.78417,1288,20633.36379,20092.47001,1,0,0,0,0,0.18529493,0
20181109,0,영업/정상,,영등포구,대림동,"서울특별시 영등포구 대림로22길 4, 1층 (대림동)",천향마라탕,중국식,191231.1995,443478.79,대림2동,11560710,26,111,12,140,537,1136,1061,2197,0.755575785,1660,0.48293127,1361,1,11101,32489.105,845,19148.97663,18843.2556,1,0,0,0,0,0.18529493,0
20191014,0,영업/정상,,관악구,신림동,"서울특별시 관악구 시흥대로 552, 2층 (신림동)",천미미,중국식,191210.0787,442220.1873,조원동,11620725,494,113,9,96,338,1263,1351,2614,0.870696251,2276,0.516832441,1022,1,4949,31104.7,15355,27853.46842,28933.52476,1,0,0,0,0,0.10650014,0
20201224,0,영업/정상,,중랑구,면목동,"서울특별시 중랑구 봉우재로14길 14, 1층 (면목동)",퓨전 차이나,중국식,206822.2725,454176.8518,면목2동,11260520,60,88,6,117,35,720,582,1302,0.97311828,1267,0.447004608,585,1,9939,25811.97208,1549,20584.11156,18428.03924,1,0,0,0,0,0.19898562,0
20190723,0,영업/정상,,관악구,신림동,"서울특별시 관악구 신림로59길 15-20, 1층 (신림동)",교동짬뽕,중국식,193692.3849,442260.8545,신원동,11620655,82,87,12,101,81,1153,1157,2310,0.964935065,2229,0.500865801,1105,1,2758,31104.7,2552,16577.94618,14743.22995,1,0,0,0,0,0.10650014,0
20190708,0,영업/정상,,관악구,신림동,"서울특별시 관악구 남부순환로 1594-1, 2층 (신림동)",마라탕입구,중국식,193549.6352,442401.4036,신원동,11620655,73,86,14,109,90,1212,1261,2473,0.963606955,2383,0.509906996,1120,1,2618,31104.7,2270,16577.94618,14743.22995,1,0,0,0,0,0.10650014,0
20200813,0,영업/정상,,관악구,신림동,"서울특별시 관악구 신림로59길 24, 서연 1-3층 (신림동)",리춘시장 신림역점,중국식,193596.0882,442314.3568,신원동,11620655,211,82,12,104,87,1167,1212,2379,0.963430013,2292,0.509457755,718,1,2758,31104.7,6563,16577.94618,14743.22995,1,0,0,0,0,0.10650014,0
20190626,0,영업/정상,,영등포구,대림동,"서울특별시 영등포구 대림로 167, 삼전빌딩 1층 (대림동)",원조강뚝꼬치구이전문점,중국식,191015.4101,443732.7372,대림2동,11560710,278,117,18,156,550,1110,1063,2173,0.746893695,1623,0.489185458,1132,1,11426,32489.105,9019,19148.97663,18843.2556,1,0,0,0,0,0.18529493,0
20220414,0,영업/정상,,영등포구,대림동,"서울특별시 영등포구 대림로27길 3, 한보빌딩 1층 106호 (대림동)",퍼뗀 숯불구이,중국식,191031.9277,443665.2069,대림2동,11560710,36,118,18,149,555,1157,1111,2268,0.755291005,1713,0.489858907,109,1,11100,32489.105,1170,19148.97663,18843.2556,1,0,0,0,0,0.18529493,0
20210817,0,영업/정상,,영등포구,대림동,"서울특별시 영등포구 대림로27가길 3, 1층 (대림동)",백천,중국식,190975.5409,443689.5454,대림2동,11560710,120,115,17,147,560,1149,1098,2247,0.750778816,1687,0.488651535,349,1,10999,32489.105,3899,19148.97663,18843.2556,1,0,0,0,0,0.18529493,0
20220105,0,영업/정상,,구로구,고척동,"서울특별시 구로구 목동남로 6, 현준프라자 1층 103호 (고척동)",도야짬뽕 목동고척점,중국식,187616.0891,444951.4865,고척1동,11530720,58,97,9,178,32,352,380,732,0.956284153,700,0.519125683,208,1,19343,21636.3125,1261,22412.20483,21773.75122,1,0,0,0,0,0.10650014,0
20180607,0,영업/정상,,구로구,고척동,"서울특별시 구로구 고척로 233, 2층 (고척동)",차이나,중국식,187450.6735,444925.0821,고척1동,11530720,139,104,9,189,30,374,422,796,0.962311558,766,0.530150754,1516,1,18960,21636.3125,3017,22412.20483,21773.75122,1,0,0,0,0,0.10650014,0
20200617,0,영업/정상,,구로구,구로동,"서울특별시 구로구 구로동로42길 8, 1층 (구로동)",마라영웅,중국식,189591.6698,443778.0841,구로2동,11530530,76,93,22,113,229,898,932,1830,0.874863388,1601,0.509289617,775,1,10693,34304.468,2608,33510.83458,34851.63155,1,0,0,0,0,0.10650014,0
20210415,0,영업/정상,,구로구,구로동,"서울특별시 구로구 구로동로 210-1, 1층 103호 (구로동)",왕홍마라,중국식,189555.2274,443911.1825,구로2동,11530530,25,84,21,122,191,808,857,1665,0.885285285,1474,0.514714715,473,1,9776,34304.468,858,33510.83458,34851.63155,1,0,0,0,0,0.10650014,0
20180416,0,영업/정상,,구로구,구로동,"서울특별시 구로구 구로동로 195, 1층 (구로동)",도원양꼬치,중국식,189528.5482,443754.3206,구로2동,11530530,60,84,17,103,214,877,902,1779,0.879707701,1565,0.507026419,1568,1,10296,34304.468,2058,33510.83458,34851.63155,1,0,0,0,0,0.10650014,0
20210622,0,영업/정상,,금천구,가산동,"서울특별시 금천구 디지털로10길 69, 가산 센트럴 푸르지오 시티 1동 지하1층 G13호 (가산동)",마라홀릭 가산센트럴점,중국식,190278.6797,441481.4314,가산동,11545510,57,135,19,55,283,1212,1350,2562,0.889539422,2279,0.526932084,405,1,4871,34572.725,1977,60057.69875,72929.04225,1,0,0,0,0,0.10650014,0
20201008,0,영업/정상,,강서구,마곡동,"서울특별시 강서구 강서로 471, 엠코지니어스타 A동 1층 103호 (마곡동)",신화쿵푸 마라탕,중국식,185830,451679,가양1동,11500603,36,84,9,218,49,578,434,1012,0.951581028,963,0.428853755,662,1,12679,40166.2525,1434,50116.53758,55247.40565,1,0,0,0,0,0.14147949,0
20191204,0,영업/정상,,종로구,동숭동,"서울특별시 종로구 대학로10길 11, 2층 (동숭동)",주주귀일,중국식,200177.965,453287.4511,이화동,11110640,198,77,45,62,27,501,288,789,0.965779468,762,0.365019011,971,1,1805,35726.1575,7074,23824.77683,29101.06209,1,0,0,0,0,0.17185853,0
20190920,0,영업/정상,,양천구,신월동,"서울특별시 양천구 월정로19길 9, 1층 (신월동)",맹숙이네도시락@찌개,중국식,185597.4151,447432.2685,신월1동,11470560,30,50,5,160,60,846,743,1589,0.962240403,1529,0.467589679,1046,1,5407,25412.63607,762,14796.34276,13384.80088,1,0,0,0,0,0.108833656,0
20220221,0,영업/정상,,강서구,화곡동,"서울특별시 강서구 곰달래로15길 43, 1층 101호 (화곡동)",판다셰프,중국식,185729.2906,447764.7791,신월1동,11470560,25,55,8,165,64,899,782,1681,0.961927424,1617,0.465199286,161,1,3084,32815.28643,820,14796.34276,13384.80088,1,0,0,0,0,0.19898562,0
20180920,0,영업/정상,,은평구,갈현동,"서울특별시 은평구 갈현로 246, 1층 (갈현동)",첸차이나,중국식,192461.989,457392.4472,갈현2동,11380552,25,108,8,339,45,889,963,1852,0.975701944,1807,0.519978402,1411,1,1919,28255.21417,706,22631.65078,21351.53591,1,0,0,0,0,0.10650014,0
20200608,0,영업/정상,,강서구,염창동,"서울특별시 강서구 공항대로 653-9, 팔레시움 1층 101호 (염창동)",온정,중국식,189105.2016,449512.1227,목2동,11470520,48,62,6,317,16,261,256,517,0.969052224,501,0.49516441,784,1,12430,33845.8175,1623,22681.90504,19790.66068,1,0,0,0,0,0.18529493,0
20180511,0,영업/정상,,영등포구,도림동,"서울특별시 영등포구 영신로 7, 2층 (도림동)",마라라 마라탕&마라샹궈 전문점,중국식,191912.8436,445559.9806,신길3동,11560650,35,102,11,154,138,1057,942,1999,0.930965483,1861,0.471235618,1543,1,15759,30017.68,1051,12816.08395,11445.25174,1,0,0,0,0,0.19898562,0
20180822,0,영업/정상,,영등포구,도림동,"서울특별시 영등포구 신길로 225, 1층 (도림동)",심양불고기,중국식,191957.9466,445571.899,신길3동,11560650,46,104,11,153,132,1010,895,1905,0.930708661,1773,0.469816273,1440,1,15759,30017.68,1381,12816.08395,11445.25174,1,0,0,0,0,0.19898562,0
20190828,0,영업/정상,,영등포구,도림동,"서울특별시 영등포구 도신로39길 19-1, 지하1층 (도림동)",하우마라탕,중국식,191887.4003,445566.4372,신길3동,11560650,61,102,12,153,138,1074,951,2025,0.931851852,1887,0.46962963,1069,1,12863,30017.68,1832,12816.08395,11445.25174,1,0,0,0,0,0.19898562,0
20210215,0,영업/정상,,영등포구,신길동,"서울특별시 영등포구 신길로 214, 상가동동 103호 (신길동, 선원 가와인)",표니중식포차,중국식,192026.1002,445443.68,신길3동,11560650,50,109,11,153,129,936,841,1777,0.92740574,1648,0.473269555,532,1,17725,29959.42714,1498,12816.08395,11445.25174,1,0,0,0,0,0.19898562,0
20190412,0,영업/정상,,영등포구,영등포동,"서울특별시 영등포구 영신로 9-1, 1층 (영등포동)",유강군꼬치샤브,중국식,191894.887,445591.2101,도림동,11560585,30,104,12,154,140,1085,953,2038,0.931305201,1898,0.467615309,1207,1,12863,30025.8475,901,14334.4191,12993.74105,1,0,0,0,0,0.19898562,0
