인허가일자,영업상태구분코드,영업상태명,폐업일자,구,법정동,도로명전체주소,사업장명,업태구분명,좌표정보(x),좌표정보(y),행정동명,행정동코드,소재지면적,교통 수,집객시설 수,교육 수,경쟁자 수,인허가 영업,인허가 폐업,인허가 영업+폐업,타업종비율,타업종경쟁자,버퍼내폐업비율,영업기간,아파트 세대수,제곱미터 당 임대료,임대료,총생활인구수,점심저녁시간대 생활인구수,골목상권,발달상권,구분불가,전통시장,관광특구,생존확률,생존예측
20220310,0,영업/정상,,금천구,시흥동,"서울특별시 금천구 금하로24길 21, 102호 (시흥동)",미초밥,일식,191841.5146,438657.3452,시흥5동,11545710,29,90,10,151,26,540,690,1230,0.978861789,1204,0.56097561,144,8886,30987.5555,899,11670.19361,10936.29824,1,0,0,0,0,0.065798886,0
20200527,0,영업/정상,,관악구,신림동,"서울특별시 관악구 조원로 181, 1층 (신림동)",아리칼국수,일식,193054.9397,442702.5773,신사동,11620685,30,100,15,127,151,1238,1356,2594,0.941788743,2443,0.522744796,796,1981,31104.7,933,20944.66626,18597.21201,1,0,0,0,0,0.065798886,0
20201210,0,영업/정상,,관악구,신림동,"서울특별시 관악구 신림동길 23-1, 1층 (신림동)",김종민 스시,일식,193402.4888,442745.4607,신사동,11620685,26,92,15,117,142,1164,1215,2379,0.940311055,2237,0.510718789,599,2112,31104.7,809,20944.66626,18597.21201,1,0,0,0,0,0.065798886,0
20210209,0,영업/정상,,도봉구,방학동,서울특별시 도봉구 도당로15길 13 (방학동),돈까스짱방학동도깨비시장점,일식,203146.2656,462637.8944,방학1동,11320690,16,96,12,227,77,643,678,1321,0.941710825,1244,0.51324754,538,16334,25046.59667,401,23494.2753,24802.59456,1,0,0,0,0,0.065798886,0
20220429,0,영업/정상,,도봉구,방학동,"서울특별시 도봉구 도당로 91, 2층 (방학동)",봉,일식,203189.3168,462589.0467,방학1동,11320690,76,98,14,250,81,658,692,1350,0.94,1269,0.512592593,94,16536,25046.59667,1894,23494.2753,24802.59456,1,0,0,0,0,0.065798886,0
20180220,0,영업/정상,,영등포구,양평동5가,"서울특별시 영등포구 양평로22나길 3-2, 1층 (양평동5가)",후미꼬(선유도점),일식,190561.4659,448513.0892,양평2동,11560620,69,67,6,173,39,424,304,728,0.946428571,689,0.417582418,1623,13414,30374.63,2088,28329.05959,29842.30973,1,0,0,0,0,0.06933341,0
20191004,0,영업/정상,,용산구,한남동,"서울특별시 용산구 이태원로 230-1, 지1층 (한남동)",하타나카라멘,일식,199871.4947,448141.0981,한남동,11170685,66,74,29,38,129,1055,788,1843,0.930005426,1714,0.427563755,1032,1980,40597.92,2679,31344.24743,35491.54168,1,0,0,0,0,0.06933341,0
20191218,0,영업/정상,,용산구,한남동,"서울특별시 용산구 이태원로54길 62-4, 지1층 (한남동)",라신반,일식,200006.5422,448154.0957,한남동,11170685,45,73,35,37,114,943,698,1641,0.930530165,1527,0.425350396,957,2580,40597.92,1844,31344.24743,35491.54168,1,0,0,0,0,0.06933341,0
20200326,0,영업/정상,,용산구,한남동,"서울특별시 용산구 이태원로54가길 23, 지1층 (한남동)",레베르(REVERRE),일식,200059.6695,448272.8773,한남동,11170685,48,75,36,33,111,912,669,1581,0.929791271,1470,0.423149905,858,2338,40597.92,1962,31344.24743,35491.54168,1,0,0,0,0,0.06933341,0
20210609,0,영업/정상,,용산구,한남동,"서울특별시 용산구 이태원로54길 58-4, 2층 (한남동)",쿡투게더한남,일식,200006.3695,448193.6929,한남동,11170685,133,75,34,37,114,939,697,1636,0.930317848,1522,0.42603912,418,2580,40597.92,5392,31344.24743,35491.54168,1,0,0,0,0,0.06933341,0
20210118,0,영업/정상,,용산구,한남동,"서울특별시 용산구 이태원로 230, 지1층 (한남동)",기다스시,일식,199866.2959,448136.6482,한남동,11170685,48,74,29,38,131,1061,792,1853,0.929303832,1722,0.427415003,560,1980,40597.92,1943,31344.24743,35491.54168,1,0,0,0,0,0.06933341,0
20190308,0,영업/정상,,송파구,오금동,"서울특별시 송파구 위례성대로22나길 23, 1층 (오금동)",큐 스시,일식,211410.5109,445184.9516,오금동,11710570,97,60,4,352,55,383,436,819,0.932844933,764,0.532356532,1242,10523,37735.3625,3654,36312.00739,35001.36518,1,0,0,0,0,0.097927384,0
