교육 수,교통 수,버퍼내폐업비율,아파트 세대수,임대료,점심저녁시간대 생활인구수,집객시설 수,타업종경쟁자
154,95,0.551809211,6336,5113,10936.29824,8,1147
169,89,0.556451613,11259,2582,10936.29824,8,1057
187,67,0.415167095,13317,1124,29842.30973,6,742
247,96,0.530178326,8118,3172,55277.9273,15,2799
35,75,0.429325513,2338,5887,35491.54168,36,1647
352,60,0.52368758,9904,3267,35001.36518,4,754
93,90,0.36944562,9560,1057,22107.5451,28,2244
89,86,0.365975104,8278,4089,22107.5451,29,2285
342,56,0.489594173,14152,1055,58126.24751,77,3697
342,56,0.489594173,14152,1931,58126.24751,77,3697
73,133,0.502410468,4583,1372,72929.04225,24,2573
50,116,0.489361702,5905,720,72929.04225,20,2049
61,120,0.498065015,5905,321,72929.04225,22,2268
61,126,0.499628253,5905,583,72929.04225,22,2369
76,44,0.320895522,5763,5462,41311.48915,4,131
125,73,0.507334963,406,3500,42482.92615,4,1582
115,97,0.449402891,6046,3039,27016.92851,11,1541
311,104,0.508474576,17964,1125,23689.09175,18,2036
110,83,0.47382199,10487,3803,19040.65528,17,1456
88,89,0.516129032,6052,1799,25308.72175,6,1067
95,71,0.490066225,6399,4246,17713.32909,6,874
112,66,0.495071194,5324,764,17713.32909,7,885
89,82,0.475836431,10652,1237,17713.32909,6,1041
174,75,0.490586337,14262,1288,20092.47001,15,1770
140,111,0.48293127,11101,845,18843.2556,12,1660
96,113,0.516832441,4949,15355,28933.52476,9,2276
117,88,0.447004608,9939,1549,18428.03924,6,1267
101,87,0.500865801,2758,2552,14743.22995,12,2229
109,86,0.509906996,2618,2270,14743.22995,14,2383
104,82,0.509457755,2758,6563,14743.22995,12,2292
156,117,0.489185458,11426,9019,18843.2556,18,1623
149,118,0.489858907,11100,1170,18843.2556,18,1713
147,115,0.488651535,10999,3899,18843.2556,17,1687
178,97,0.519125683,19343,1261,21773.75122,9,700
189,104,0.530150754,18960,3017,21773.75122,9,766
113,93,0.509289617,10693,2608,34851.63155,22,1601
122,84,0.514714715,9776,858,34851.63155,21,1474
103,84,0.507026419,10296,2058,34851.63155,17,1565
55,135,0.526932084,4871,1977,72929.04225,19,2279
218,84,0.428853755,12679,1434,55247.40565,9,963
62,77,0.365019011,1805,7074,29101.06209,45,762
160,50,0.467589679,5407,762,13384.80088,5,1529
165,55,0.465199286,3084,820,13384.80088,8,1617
339,108,0.519978402,1919,706,21351.53591,8,1807
317,62,0.49516441,12430,1623,19790.66068,6,501
154,102,0.471235618,15759,1051,11445.25174,11,1861
153,104,0.469816273,15759,1381,11445.25174,11,1773
153,102,0.46962963,12863,1832,11445.25174,12,1887
153,109,0.473269555,17725,1498,11445.25174,11,1648
154,104,0.467615309,12863,901,12993.74105,12,1898
151,89,0.533632287,15112,353,21634.83018,13,1511
230,94,0.536873156,10911,1336,21672.20931,14,1634
155,98,0.495092694,7684,1844,15470.6481,16,883
100,93,0.464797508,9166,482,18428.03924,8,1558
188,164,0.464944649,26677,4112,18036.51486,11,1052
101,108,0.473457676,2832,723,17671.14532,12,2024
246,118,0.514563107,2345,1881,92063.85439,21,2644
267,130,0.516230968,3224,2961,92063.85439,24,3319
88,73,0.502196193,2718,3775,18743.02733,7,661
138,83,0.474189676,10175,2548,20961.26048,11,804
210,63,0.499440403,3089,24412,134994.9088,97,3461
281,81,0.531660693,9277,6299,25722.93911,13,2418
260,78,0.521721142,8737,2735,25722.93911,12,2328
266,84,0.540256709,9277,1370,25722.93911,12,2472
262,91,0.531138153,8213,1797,25722.93911,15,2689
171,42,0.329519451,5465,1340,23722.84324,8,825
185,93,0.44549763,13867,769,60114.13685,18,1618
185,93,0.44549763,13867,518,60114.13685,18,1618
35,61,0.424539171,1781,1244,9558.739677,21,1676
74,65,0.363304094,2920,3131,40993.88901,14,1313
