경쟁자 수,교통 수,임대료,점심저녁시간대 생활인구수,집객시설 수,총생활인구수,타업종경쟁자,타업종비율
708,95,1425,10936.29824,8,11670.19361,573,0.447306792
645,91,1456,10936.29824,8,11670.19361,520,0.446351931
693,87,920,10936.29824,8,11670.19361,524,0.430566968
656,91,1023,10936.29824,8,11670.19361,532,0.447811448
318,114,57017,23473.54378,15,25172.70003,257,0.446956522
286,102,2537,23473.54378,15,25172.70003,220,0.434782609
311,29,1790,10163.56076,2,10147.43217,204,0.396116505
311,29,1613,10163.56076,2,10147.43217,204,0.396116505
311,29,1670,10163.56076,2,10147.43217,204,0.396116505
2076,92,6149,134994.9088,92,108753.4728,1769,0.460078023
2013,89,7388,134994.9088,69,108753.4728,1682,0.455209743
783,86,503,23667.05304,8,24191.93929,599,0.433429812
836,90,2604,23667.05304,8,24191.93929,608,0.421052632
836,90,1205,23667.05304,8,24191.93929,608,0.421052632
806,85,1545,23667.05304,7,24191.93929,605,0.428773919
1311,100,821,18597.21201,16,20944.66626,1283,0.49460293
1204,95,1711,18597.21201,16,20944.66626,1176,0.494117647
1308,100,933,18597.21201,14,20944.66626,1277,0.494003868
1225,96,1831,18597.21201,16,20944.66626,1184,0.491490245
1217,97,781,18597.21201,16,20944.66626,1183,0.492916667
1231,95,325,18597.21201,16,20944.66626,1176,0.48857499
752,95,501,24802.59456,14,23494.2753,564,0.428571429
773,104,541,24802.59456,15,23494.2753,589,0.432452276
678,93,576,17424.02814,13,20010.31492,523,0.435470441
349,53,2850,29842.30973,6,28329.05959,224,0.390924956
349,53,817,29842.30973,6,28329.05959,224,0.390924956
440,64,4486,29842.30973,7,28329.05959,284,0.392265193
412,63,1482,29842.30973,6,28329.05959,260,0.386904762
446,66,1512,29842.30973,6,28329.05959,289,0.393197279
446,66,2546,29842.30973,6,28329.05959,289,0.393197279
411,61,2187,29842.30973,6,28329.05959,252,0.380090498
1730,94,1019,55277.9273,20,55951.10631,1164,0.402211472
1730,94,1134,55277.9273,20,55951.10631,1164,0.402211472
1730,94,1134,55277.9273,20,55951.10631,1164,0.402211472
648,59,6698,9558.739677,32,10465.68204,1020,0.611510791
640,59,4609,9558.739677,30,10465.68204,979,0.604694256
660,74,2701,35491.54168,31,31344.24743,1169,0.639147075
598,75,1207,35491.54168,36,31344.24743,1011,0.628340584
631,73,1535,35491.54168,34,31344.24743,1045,0.623508353
